Year,"Central government debt, total (% of GDP)",Consumer price index (2010 = 100),Current account balance (% of GDP)_x,"Current account balance (BoP, current US$)",Domestic credit to private sector (% of GDP)_x,Expense (% of GDP)_x,Exports of goods and services (% of GDP)_x,Exports of goods and services (constant LCU),Final consumption expenditure (% of GDP)_x,"Foreign direct investment, net inflows (% of GDP)_x","Foreign direct investment, net inflows (BoP, current US$)",Exports of goods and services (% of GDP).1,GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),GDP growth (annual %),GDP per capita (constant LCU),GDP per capita (current US$),"GDP per capita, PPP (constant 2021 international $)","GDP per capita, PPP (current international $)",GDP per person employed (constant 2021 PPP $),"GDP, PPP (constant 2021 international $)","GDP, PPP (current international $)",GDP: linked series (current LCU),General government final consumption expenditure (% of GDP)_x,General government final consumption expenditure (constant LCU),GNI (constant LCU),GNI (current LCU),GNI growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (constant 2021 international $)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)",GNI: linked series (current LCU),Gross capital formation (% of GDP)_x,Gross capital formation (constant LCU),Gross domestic savings (% of GDP)_x,Gross fixed capital formation (% of GDP)_x,Gross fixed capital formation (constant LCU),Gross savings (% of GDP)_x,Households and NPISHs final consumption expenditure (% of GDP)_x,Households and NPISHs Final consumption expenditure (constant LCU),Imports of goods and services (% of GDP)_x,Imports of goods and services (constant LCU),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total",Net lending (+) / net borrowing (-) (% of GDP)_x,"Net trade in goods and services (BoP, current US$)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Tax revenue (% of GDP)_x,"Total reserves (includes gold, current US$)",Total reserves in months of imports,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Services, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Trade in services (% of GDP),Coal rents (% of GDP),Current account balance (% of GDP)_y,Current health expenditure (% of GDP),Domestic credit to private sector (% of GDP)_y,Domestic credit to private sector by banks (% of GDP),Domestic general government health expenditure (% of GDP),Expense (% of GDP)_y,Exports of goods and services (% of GDP)_y,External balance on goods and services (% of GDP),Final consumption expenditure (% of GDP)_y,"Foreign direct investment, net inflows (% of GDP)_y","Foreign direct investment, net outflows (% of GDP)",Forest rents (% of GDP),General government final consumption expenditure (% of GDP)_y,"Government expenditure on education, total (% of GDP)",Gross capital formation (% of GDP)_y,Gross domestic savings (% of GDP)_y,Gross fixed capital formation (% of GDP)_y,Gross national expenditure (% of GDP),Gross savings (% of GDP)_y,Households and NPISHs final consumption expenditure (% of GDP)_y,Imports of goods and services (% of GDP)_y,"Manufacturing, value added (% of GDP)",Market capitalization of listed domestic companies (% of GDP),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net investment in nonfinancial assets (% of GDP),Net lending (+) / net borrowing (-) (% of GDP)_y,Oil rents (% of GDP),"Personal remittances, received (% of GDP)",Research and development expenditure (% of GDP),"Revenue, excluding grants (% of GDP)","Stocks traded, total value (% of GDP)",Tax revenue (% of GDP)_y,Trade (% of GDP),Total natural resources rents (% of GDP)
1990,117.3251538,60.95356646,-9.145504705,-38059918934,117.5372739,35.74205541,54.70623773,27844955000,74.42156588,1.261338654,621911000,-2286966706,74368422000,37851934000,49305632408,50.89785823,50.89785823,8.466528156,21163.62329,14031.30257,29593.92272,13733.74699,58221.82591,1.03992E+11,48260029860,37851934000,17.16035963,15275517000,38216712223,35194902000,6.93582073,12560,36922.78271,12770,44137988743,35194902000,21.52711669,15648098000,25.57843412,19.21223365,14763639000,13.40765915,57.16298406,35781928000,50.32320938,27837056000,3.317328867,-0.729184583,-0.729184583,60.21,1542718,-2.373299315,90696269749,0.084413021,1766871,50.28127346,1747103,49.71872654,3513974,25.35991919,5361690182,0.098033697,12.63880106,21.75762869,62.17722887,6.066458894,25.01258935,-31.75102023,0.000247675,-8.78189322,9.807883313,117.5372739,117.5359746,7.403309688,35.74205541,54.70623773,4.383028355,74.42156588,1.261338654,0.738017103,0.056260819,17.16035963,4.600560188,21.52711669,25.57843412,19.21223365,95.94868257,13.40765915,57.16298406,50.32320938,15.6946212,,90.07490185,1.203503284,0.155316915,0.075532718,6.606933292,0.4528557,-2.373299315,0,0.579393346,1.42983864,32.25842101,,25.35991919,105.0294471,0.287358128
1991,104.3324825,62.9106699,-8.937485465,-37105177718,132.9729771,37.12487734,55.58185286,29432867000,75.78814422,2.734959422,1361668000,-1853952306,75803464000,39277361000,49787502852,51.81473105,51.81473105,1.9296389,21448.33719,14087.2078,29992.04931,14389.20044,79463.29538,1.05999E+11,50854815801,39277361000,18.15285146,15685177000,45243109572,36670349000,2.308567224,13130,37059.07884,13430,46393096624,36670349000,19.6727219,14605244000,24.21185578,17.58909159,13732556000,12.59131758,57.58544725,36427747000,50.8583787,28505217000,3.210810371,1.801397644,1.801397644,61.017,1583702,-2.385444705,97895279115,0.574927781,1776360,50.26152575,1757875,49.73847425,3534235,25.62922566,5867444595,0.102743941,15.771,21.829,62.47824505,4.429020185,24.54638602,-25.73668461,8.79003E-06,-8.581555662,9.938025501,132.9729771,132.9714655,7.500907989,37.12487734,55.58185286,4.723474166,75.78814422,2.734959422,0.387936709,0.042320264,18.15285146,4.782670021,19.6727219,24.21185578,17.58909159,95.46086612,12.59131758,57.58544725,50.8583787,15.0110995,,90.3740847,1.253935313,0.035286365,0.054388536,7.492021983,0.433188224,-2.385444705,0,0.55759656,1.442988877,32.84504234,,25.62922566,106.4402316,0.132003956
1992,115.5541577,64.84202654,-7.384259208,-29976370193,139.1336343,37.58219799,58.40548279,33520489000,75.9862149,2.607677255,1458175000,-2185508907,78337782000,41732005000,55918538121,53.27187461,53.27187461,3.343274656,22014.70368,15714.38475,30784.02173,15105.74254,81209.57708,1.09543E+11,53752727437,41732005000,18.54897219,16151065000,52269506921,38467316000,3.309234476,14440,37409.93397,13920,51388373968,38467316000,16.6369289,12757904000,24.0137851,17.30361146,13728903000,12.47299774,57.41309578,37479319000,51.13998716,30832997000,3.069998538,2.812218705,2.812218705,60.32,1587332,-2.601423193,65043826753,0.682256778,1788165,50.251502,1770265,49.748498,3558430,25.93238599,3559520524,0.081249546,15.021,21.284,62.52187407,4.727967759,24.47881491,-19.72234898,4.32744E-06,-7.085686555,9.956888196,139.1336343,139.132038,7.515053803,37.58219799,58.40548279,7.265495631,75.9862149,2.607677255,0.383391639,0.044865395,18.54897219,5.005630016,16.6369289,24.0137851,17.30361146,92.6231438,12.47299774,57.41309578,51.13998716,14.91203046,,90.86074441,1.20411855,0.040959392,0.025444731,7.784734538,0.40466583,-2.601423193,0,0.576401145,1.444894861,33.25866307,,25.93238599,109.54547,0.111273845
1993,106.0068788,65.79482515,-5.633212414,-21939630210,135.9353945,37.62976583,63.36698696,36771626000,74.23402102,2.056356103,1077890000,-2814850609,80447112000,45073789000,52417477614,56.02909524,56.02909524,2.692608785,22494.75416,14657.06155,31455.2951,15801.00349,82098.13703,1.12492E+11,56508512548,45073789000,18.34333031,16164390000,59295904270,41731279000,2.848649048,14600,37688.99061,14630,52218352962,41731279000,15.4691943,12228483000,25.76597898,15.90800143,13031027000,13.51969127,55.88354243,38568428000,53.23571533,33159555000,1.469415224,5.175752963,5.175752963,60.913,1622931,-2.67197254,1.00719E+11,0.499840487,1797310,50.25667469,1778951,49.74332531,3576261,25.84053316,6065811301,0.10459139,15.571,23.162,62.13591837,4.363890102,25.07656961,-13.70801336,8.30457E-07,-5.399301977,9.790023013,135.9353945,135.9338421,7.389915607,37.62976583,63.36698696,10.13127164,74.23402102,2.056356103,0.4197226,0.041765771,18.34333031,5.115560055,15.4691943,25.76597898,15.90800143,89.70321532,13.51969127,55.88354243,53.23571533,15.78842555,,95.67991877,1.139225149,0.000399246,0.068921404,7.815180799,0.428187184,-2.67197254,0,0.56722437,1.428033944,33.11546159,,25.84053316,116.6027023,0.111087252
1994,97.39339777,67.31416052,-6.060981642,-23902952989,133.1552742,37.11573145,67.96005274,42336545000,73.86977573,1.500900491,856979000,-3548071312,85077509000,48475910000,57097656066,56.97852531,56.97852531,5.755827506,23695.92267,15902.92968,33134.93604,17000.17161,83999.5442,1.18967E+11,61037178152,48475910000,18.16457288,16830188000,66322301619,45087396000,5.017002987,15480,38166.64739,15810,55581256949,45087396000,16.51398189,13701340000,26.13022427,16.98154815,14573632000,13.73727746,55.69153008,40251559000,58.52887135,38294595000,2.309201926,1.694530436,1.694530436,61.448,1657325,-2.320623783,1.0338E+11,0.394187639,1805688,50.29229928,1784698,49.70770072,3590386,27.05650385,6252748204,0.10633239,14.544,21.406,62.05568607,4.465489859,25.20083059,-7.693677732,1.04626E-06,-5.81127465,9.755335153,133.1552742,133.1537601,7.363901935,37.11573145,67.96005274,9.431181385,73.86977573,1.500900491,0.764856266,0.042630754,18.16457288,5.188710213,16.51398189,26.13022427,16.98154815,90.38375762,13.73727746,55.69153008,58.52887135,15.97061017,,104.3965797,1.108732591,0.007552041,0.062486479,7.486168066,0.49505104,-2.320623783,0,0.566791398,1.424528904,33.77619309,,27.05650385,126.4889241,0.11267032
1995,90.55091285,69.01375184,-5.140982532,-19680453822,118.432706,37.20854607,73.5200043,50783440000,69.62664408,2.086966574,1442925000,-3924004014,93274236000,54758740000,69139823232,58.70725116,58.70725116,9.634422888,25846.03644,19158.45648,36141.52428,18931.54092,87540.8341,1.30429E+11,68320921081,54758740000,17.21793453,17481165000,79996499000,50077000000,7.762535821,16920,32325.98245,17310,61062706688,50077000000,18.873,17002333000,30.37335592,18.0715462,16874880000,16.27196185,52.40870955,41638914000,62.58314563,44578324000,2.524864468,3.033995428,3.033995428,61.873,1692510,-2.006311686,1.39207E+11,0.512695055,1816345,50.33042097,1792496,49.66957903,3608841,26.52658918,8769756416,0.129774048,11.97,17.58,55.78856818,5.580190486,28.93794123,-1.679342107,3.47044E-06,-4.925249037,9.351252619,118.432706,118.4313944,7.060865927,37.20854607,73.5200043,10.93685866,69.62664408,2.086966574,1.187252095,0.042529621,17.21793453,4.871620178,18.873,30.37335592,18.0715462,88.49964408,16.27196185,52.40870955,62.58314563,20.68710675,,111.4336086,1.014359388,0,0.098004273,7.545574973,0.605127145,-2.006311686,0,0.501821983,1.383698324,35.10979435,19.2760111,26.52658918,136.1031499,0.140537365
1996,71.56905469,70.22545713,-5.135445433,-19655040320,108.7064262,35.35851583,74.90704154,57091546000,69.32444001,3.453563648,2617483000,-3615168214,1.00158E+11,60147567000,75790785030,60.05297036,60.05297036,7.379621957,27534.63826,20835.89737,38502.76228,20473.93999,90462.24005,1.40054E+11,74474161435,60147567000,16.59254979,18098058000,85689201000,55299000000,7.97164369,18880,34353.4531,18820,68662966865,55299000000,20.53061764,19732746000,30.67555999,19.81921563,19646893000,16.45248699,52.73189022,44498882000,63.96112082,50303839000,1.755744696,2.2922538,2.2922538,63.052,1753188,-0.128213,1.33067E+11,0.791271347,1831234,50.34306635,1806276,49.65693365,3637510,27.21103748,8338374031,0.125756454,11.692,16.87,55.99179431,4.690114897,28.2929233,4.334993518,0,-4.91991641,9.322473077,108.7064262,108.7052484,7.039283114,35.35851583,74.90704154,10.94592072,69.32444001,3.453563648,0.960495395,0.043324014,16.59254979,4.753920078,20.53061764,30.67555999,19.81921563,89.85505765,16.45248699,52.73189022,63.96112082,20.43953831,,109.0620713,0.989927159,0,0.082913055,6.361445033,0.649452704,-0.128213,0,0.478167687,1.271559954,35.18588873,15.5617863,27.21103748,138.8681624,0.126237069
1997,79.89273634,71.30819465,-4.503545256,-16754822330,101.3388998,33.07404163,77.12479504,67110230000,66.31376019,2.448563695,2028797820,-5087984760,1.11197E+11,69400729000,82856648758,62.41261,62.41261,11.0217623,30264.41774,22551.11391,42319.91977,22632.09336,97850.87756,1.55491E+11,83154181090,69400729000,16.11882924,19318090000,93564102000,62698000000,9.470307579,20650,37136.27925,20450,75874676339,62698000000,22.22901002,23375867000,33.68623981,21.04640572,22752152000,18.25095184,50.19493095,47557752000,65.14470187,58676389000,1.541802023,3.929263823,3.929263823,62.535,1769376,1.410934747,1.08758E+11,1.002814735,1849726,50.34404934,1824445,49.65595066,3674171,26.87358515,6630587554,0.109851322,10.191,14.904,55.51054226,3.906744265,29.69547193,10.34932914,0,-4.311350884,9.035759577,101.3388998,101.3378233,6.824266361,33.07404163,77.12479504,11.98009318,66.31376019,2.448563695,0.917013796,0.032052115,16.11882924,4.546548933,22.22901002,33.68623981,21.04640572,88.54277021,18.25095184,50.19493095,65.14470187,21.79010252,59.02062265,109.9441039,0.924066127,0.0335203,0.072173339,4.899244986,0.57375478,1.410934747,0,0.37916166,1.242709994,34.37520231,19.31458759,26.87358515,142.2694969,0.137745754
1998,60.00982783,73.02506846,-5.178329705,-19851865296,92.46033961,31.09597026,84.32407634,82391462000,64.11776337,9.825138433,8862216910,-1149372688,1.20944E+11,80430814000,90199410116,66.50236898,66.50236898,8.766125914,32575.86509,24294.85477,45552.10705,25092.33923,100411.7052,1.69121E+11,93160227483,80430814000,15.54795156,20799536000,1.0222E+11,72044000000,8.033420802,21430,40150.80528,22480,79556566191,72044000000,24.09796325,26995264000,35.88223663,22.52567405,25810161000,19.56275626,48.56981057,51332216000,73.44834033,74974211000,2.407680945,6.552776716,6.552776716,63.429,1824784,2.247715658,1.49989E+11,1.043076836,1868719,50.33320552,1843977,49.66679448,3712696,26.49432841,9527216733,0.136828505,7.699,10.859,55.69146173,3.475354607,31.2887409,16.36366477,0,-4.961217062,8.826630087,92.46033961,92.45938527,6.667432644,31.09597026,84.32407634,10.87573601,64.11776337,9.825138433,4.329026836,0.030962675,15.54795156,4.287539959,24.09796325,35.88223663,22.52567405,88.21572662,19.56275626,48.56981057,73.44834033,23.24454282,77.24713489,119.203662,0.823869516,0,0.006386593,3.633161067,0.748282866,2.247715658,0,0.303399863,1.208009958,33.4183849,47.78274042,26.49432841,157.7724167,0.037349268
1999,49.14171573,74.21529387,-3.85031492,-13756705786,84.34579255,29.40919174,86.46010384,95386076000,62.47815577,18.41431168,18210641710,5029905755,1.3368E+11,92790527000,98893958263,69.41264207,69.41264207,10.52988498,35602.44925,26338.10775,49784.29813,27041.34742,106331.6158,1.86929E+11,1.01534E+11,92790527000,15.02619874,21998383000,1.09606E+11,80931755000,7.831846664,22690,42569.29582,23590,85205540700,80931755000,24.63550617,29470057000,37.52184423,24.15987572,29442922000,20.54219507,47.45195703,56200919000,73.41092911,84432963000,1.629886052,4.376194625,4.376194625,63.829,1866317,3.599759704,90900949202,1.127299556,1889328,50.31785764,1865458,49.68214236,3754786,26.65105997,5376069596,0.098167617,5.804,8.207,55.15073753,2.572291674,31.37096419,22.37800039,0,-3.682242874,8.670486736,84.34579255,84.34494983,6.550335136,29.40919174,86.46010384,13.04917473,62.47815577,18.41431168,6.177245847,0.027137683,15.02619874,4.133790016,24.63550617,37.52184423,24.15987572,87.11366194,20.54219507,47.45195703,73.41092911,23.53153356,69.54234739,119.3278154,0.750676499,0,0.004460146,-0.805575767,0.861381033,3.599759704,0,0.298486412,1.151409984,33.19987826,45.58487777,26.65105997,159.871033,0.031597829
