Country Name,Country Code,Rank
Angola,AGO,1
Zimbabwe,ZWE,2
"Congo, Rep.",COG,3
"Yemen, Rep.",YEM,4
Syrian Arab Republic,SYR,5
Sri Lanka,LKA,6
Pakistan,PAK,7
Nigeria,NGA,8
Sudan,SDN,9
Zambia,ZMB,10
Lebanon,LBN,11
Eritrea,ERI,12
Iraq,IRQ,13
Tunisia,TUN,14
Ukraine,UKR,15
Haiti,HTI,16
"Venezuela, RB",VEN,17
South Africa,ZAF,18
Somalia,SOM,19
Djibouti,DJI,20
Mozambique,MOZ,21
Chad,TCD,22
Suriname,SUR,23
Central African Republic,CAF,24
"Egypt, Arab Rep.",EGY,25
South Sudan,SSD,26
Madagascar,MDG,27
"Iran, Islamic Rep.",IRN,28
Burundi,BDI,29
Tajikistan,TJK,30
Lesotho,LSO,31
Lao PDR,LAO,32
Belarus,BLR,33
Myanmar,MMR,34
Bangladesh,BGD,35
Papua New Guinea,PNG,36
West Bank and Gaza,PSE,37
Kyrgyz Republic,KGZ,38
Ethiopia,ETH,39
Guinea,GIN,40
Ghana,GHA,41
Equatorial Guinea,GNQ,42
Libya,LBY,43
Cameroon,CMR,44
"Congo, Dem. Rep.",COD,45
Russian Federation,RUS,46
Eswatini,SWZ,47
Jamaica,JAM,48
Turkmenistan,TKM,49
Paraguay,PRY,50
Mali,MLI,51
"Gambia, The",GMB,52
Burkina Faso,BFA,53
Nicaragua,NIC,54
Togo,TGO,55
El Salvador,SLV,56
Jordan,JOR,57
Mauritania,MRT,58
Algeria,DZA,59
Azerbaijan,AZE,60
Kenya,KEN,61
North Macedonia,MKD,62
Afghanistan,AFG,63
Brazil,BRA,64
Mongolia,MNG,65
Gabon,GAB,66
Malawi,MWI,67
Kazakhstan,KAZ,68
Comoros,COM,69
Turkiye,TUR,70
Argentina,ARG,71
Nepal,NPL,72
Liberia,LBR,73
Moldova,MDA,74
Sierra Leone,SLE,75
Mexico,MEX,76
Honduras,HND,77
Morocco,MAR,78
Rwanda,RWA,79
Guinea-Bissau,GNB,80
Guyana,GUY,81
Uganda,UGA,82
"Korea, Dem. People's Rep.",PRK,83
Cuba,CUB,84
Colombia,COL,85
Bolivia,BOL,86
Tanzania,TZA,87
Guatemala,GTM,88
Armenia,ARM,89
Vanuatu,VUT,90
Ecuador,ECU,91
Kuwait,KWT,92
Bosnia and Herzegovina,BIH,93
Bhutan,BTN,94
Indonesia,IDN,95
Tuvalu,TUV,96
Kosovo,XKX,97
Niger,NER,98
Marshall Islands,MHL,99
Mauritius,MUS,100
Trinidad and Tobago,TTO,101
Benin,BEN,102
Peru,PER,103
Belize,BLZ,104
Uzbekistan,UZB,105
India,IND,106
Timor-Leste,TLS,107
Solomon Islands,SLB,108
Cote d'Ivoire,CIV,109
Panama,PAN,110
Cambodia,KHM,111
Bahrain,BHR,112
Senegal,SEN,113
Philippines,PHL,114
Serbia,SRB,115
Georgia,GEO,116
Qatar,QAT,117
Thailand,THA,118
Montenegro,MNE,119
Saudi Arabia,SAU,120
Kiribati,KIR,121
Hungary,HUN,122
Albania,ALB,123
Dominican Republic,DOM,124
Samoa,WSM,125
Spain,ESP,126
Malaysia,MYS,127
Viet Nam,VNM,128
Slovak Republic,SVK,129
Dominica,DMA,130
Fiji,FJI,131
Greece,GRC,132
Cabo Verde,CPV,133
France,FRA,134
China,CHN,135
Romania,ROU,136
Oman,OMN,137
Brunei Darussalam,BRN,138
Namibia,NAM,139
Italy,ITA,140
St. Kitts and Nevis,KNA,141
Costa Rica,CRI,142
Bulgaria,BGR,143
Belgium,BEL,144
Grenada,GRD,145
Botswana,BWA,146
Austria,AUT,147
Barbados,BRB,148
Cyprus,CYP,149
"Bahamas, The",BHS,150
United Kingdom,GBR,151
Maldives,MDV,152
"Micronesia, Fed. Sts.",FSM,153
Luxembourg,LUX,154
St. Vincent and the Grenadines,VCT,155
St. Lucia,LCA,156
Croatia,HRV,157
Nauru,NRU,158
Chile,CHL,159
Canada,CAN,160
Uruguay,URY,161
Finland,FIN,162
Germany,DEU,163
Netherlands,NLD,164
Palau,PLW,165
Portugal,PRT,166
United States,USA,167
Poland,POL,168
Antigua and Barbuda,ATG,169
Japan,JPN,170
Sweden,SWE,171
Latvia,LVA,172
Malta,MLT,173
Singapore,SGP,174
Israel,ISR,175
United Arab Emirates,ARE,176
American Samoa,ASM,177
Tonga,TON,178
Ireland,IRL,179
"Korea, Rep.",KOR,180
Australia,AUS,181
Lithuania,LTU,182
Denmark,DNK,183
Iceland,ISL,184
Andorra,AND,185
San Marino,SMR,186
Norway,NOR,187
Monaco,MCO,188
Slovenia,SVN,189
Seychelles,SYC,190
Switzerland,CHE,191
Estonia,EST,192
Liechtenstein,LIE,193
Czechia,CZE,194
New Zealand,NZL,195
"Korea, Dem. Rep.",PRK,196
Turkey,TUR,197
Czech Republic,CZE,198
Vietnam,VNM,199
