Date,Year,Quarter,Corporate_Credit,Household_Deposits,Corporate_Deposits,Private_Sector_Deposits,Household_Loans,M1,M2,M3
2015-01-01,2015,2015Q1,57924.0,92093.33333333331,41109.66666666666,159869.46666666667,95199.33333333331,120530.33333333331,181900.0,192904.0
2015-04-01,2015,2015Q2,54268.333333333336,93066.0,41642.66666666666,162634.6,93792.33333333331,124290.0,184075.3333333333,195620.66666666663
2015-07-01,2015,2015Q3,51940.333333333336,93657.33333333331,42966.0,164589.26666666666,92744.33333333331,129085.0,186576.0,196440.3333333333
2015-10-01,2015,2015Q4,49335.66666666666,94650.0,43036.333333333336,166192.33333333334,92380.66666666669,133931.66666666666,189589.0,203114.66666666663
2016-01-01,2016,2016Q1,46366.333333333336,95095.66666666669,43102.333333333336,164882.86666666667,90693.33333333331,134740.0,188682.0,200631.66666666663
2016-04-01,2016,2016Q2,45676.0,95718.33333333331,44168.333333333336,165543.93333333332,89104.66666666667,137599.0,189302.3333333333,209595.0
2016-07-01,2016,2016Q3,44331.66666666666,96370.66666666669,44558.333333333336,167431.73333333334,89455.0,141018.0,191250.66666666663,215481.66666666663
2016-10-01,2016,2016Q4,43499.333333333336,96926.33333333331,44557.0,167427.33333333334,89106.33333333333,144919.0,191909.3333333333,215576.3333333333
2017-01-01,2017,2017Q1,42066.0,97642.33333333331,45606.333333333336,169767.8,88170.33333333333,147552.33333333334,194352.0,220288.0
2017-04-01,2017,2017Q2,42103.333333333336,99057.0,46703.333333333336,171259.6,90053.0,150503.0,196553.3333333333,220114.3333333333
2017-07-01,2017,2017Q3,41018.0,99981.0,48355.333333333336,174022.4,91880.33333333331,154204.66666666666,199580.66666666663,221650.0
2017-10-01,2017,2017Q4,41560.66666666666,100031.66666666669,50506.66666666666,177231.2,91128.0,159367.0,203229.0,223294.0
2018-01-01,2018,2018Q1,41185.66666666666,100099.0,50425.0,177041.8,89876.0,160353.0,204027.66666666663,216511.66666666663
2018-04-01,2018,2018Q2,40711.0,101488.0,51540.0,179511.73333333334,89430.33333333333,163809.66666666666,207296.66666666663,222198.3333333333
2018-07-01,2018,2018Q3,40997.0,102569.0,53149.333333333336,182811.8,91206.66666666669,169189.66666666666,211283.0,230370.66666666663
2018-10-01,2018,2018Q4,41458.333333333336,103587.33333333331,52727.333333333336,184595.9333333333,91747.0,173093.33333333334,214159.3333333333,239650.3333333333
2019-01-01,2019,2019Q1,41072.0,104999.66666666669,52715.66666666666,185775.86666666667,90342.0,177109.33333333334,218808.0,235639.3333333333
2019-04-01,2019,2019Q2,41096.0,107010.66666666669,56219.333333333336,191066.46666666667,89661.0,183021.66666666663,225723.3333333333,234066.66666666663
2019-07-01,2019,2019Q3,40710.0,108973.0,58027.66666666666,196718.46666666667,91001.66666666669,190931.0,234897.66666666663,246226.0
2019-10-01,2019,2019Q4,39699.0,110353.66666666669,60591.0,202847.26666666663,91863.66666666669,199887.0,243218.0,252440.0
2020-01-01,2020,2020Q1,38378.66666666666,112171.0,60345.333333333336,210601.2,90153.0,206242.66666666663,251317.3333333333,267727.3333333333
2020-04-01,2020,2020Q2,39633.333333333336,117249.66666666669,64351.333333333336,220039.53333333333,87057.66666666667,217586.3333333333,266163.6666666667,295000.6666666667
2020-07-01,2020,2020Q3,37973.0,120635.0,68082.66666666667,226739.2,87912.33333333333,227309.66666666663,274069.6666666667,308971.6666666667
